Region,Province,Municipality,Year,Count
Region II - Cagayan Valley,QUIRINO,MADDELA,1992,14
Region II - Cagayan Valley,QUIRINO,MADDELA,1993,5
Region II - Cagayan Valley,QUIRINO,MADDELA,1994,7
Region II - Cagayan Valley,QUIRINO,MADDELA,1995,2
Region II - Cagayan Valley,QUIRINO,MADDELA,1996,12
Region II - Cagayan Valley,QUIRINO,MADDELA,1997,13
Region II - Cagayan Valley,QUIRINO,MADDELA,1998,8
Region II - Cagayan Valley,QUIRINO,MADDELA,1999,10
Region II - Cagayan Valley,QUIRINO,MADDELA,2000,2
Region II - Cagayan Valley,QUIRINO,MADDELA,2001,9
Region II - Cagayan Valley,QUIRINO,MADDELA,2002,10
Region II - Cagayan Valley,QUIRINO,MADDELA,2003,4
Region II - Cagayan Valley,QUIRINO,MADDELA,2004,7
Region II - Cagayan Valley,QUIRINO,MADDELA,2005,12
Region II - Cagayan Valley,QUIRINO,MADDELA,2006,12
Region II - Cagayan Valley,QUIRINO,MADDELA,2007,4
Region II - Cagayan Valley,QUIRINO,MADDELA,2008,17
Region II - Cagayan Valley,QUIRINO,MADDELA,2009,8
Region II - Cagayan Valley,QUIRINO,MADDELA,2010,18
Region II - Cagayan Valley,QUIRINO,MADDELA,2011,12
Region II - Cagayan Valley,QUIRINO,MADDELA,2012,14
Region II - Cagayan Valley,QUIRINO,MADDELA,2013,13
Region II - Cagayan Valley,QUIRINO,MADDELA,2014,27
Region II - Cagayan Valley,QUIRINO,MADDELA,2015,39
Region II - Cagayan Valley,QUIRINO,MADDELA,2016,38
Region II - Cagayan Valley,QUIRINO,MADDELA,2017,18
Region II - Cagayan Valley,QUIRINO,MADDELA,2018,23
Region II - Cagayan Valley,QUIRINO,MADDELA,2019,32
Region II - Cagayan Valley,QUIRINO,MADDELA,2020,4
Region II - Cagayan Valley,QUIRINO,NAGTIPUNAN,2001,2
Region II - Cagayan Valley,QUIRINO,NAGTIPUNAN,2005,4
Region II - Cagayan Valley,QUIRINO,NAGTIPUNAN,2008,3
Region II - Cagayan Valley,QUIRINO,NAGTIPUNAN,2009,2
Region II - Cagayan Valley,QUIRINO,NAGTIPUNAN,2014,1
Region II - Cagayan Valley,QUIRINO,NAGTIPUNAN,2015,3
Region II - Cagayan Valley,QUIRINO,NAGTIPUNAN,2016,5
Region II - Cagayan Valley,QUIRINO,NAGTIPUNAN,2017,3
Region II - Cagayan Valley,QUIRINO,NAGTIPUNAN,2018,4
Region II - Cagayan Valley,QUIRINO,NAGTIPUNAN,2019,2
Region II - Cagayan Valley,QUIRINO,SAGUDAY,1991,3
Region II - Cagayan Valley,QUIRINO,SAGUDAY,1992,8
Region II - Cagayan Valley,QUIRINO,SAGUDAY,1993,1
Region II - Cagayan Valley,QUIRINO,SAGUDAY,1995,2
Region II - Cagayan Valley,QUIRINO,SAGUDAY,1996,4
Region II - Cagayan Valley,QUIRINO,SAGUDAY,1998,3
Region II - Cagayan Valley,QUIRINO,SAGUDAY,1999,5
Region II - Cagayan Valley,QUIRINO,SAGUDAY,2001,2
Region II - Cagayan Valley,QUIRINO,SAGUDAY,2002,7
Region II - Cagayan Valley,QUIRINO,SAGUDAY,2003,3
Region II - Cagayan Valley,QUIRINO,SAGUDAY,2004,3
Region II - Cagayan Valley,QUIRINO,SAGUDAY,2006,1
Region II - Cagayan Valley,QUIRINO,SAGUDAY,2007,3
Region II - Cagayan Valley,QUIRINO,SAGUDAY,2008,5
Region II - Cagayan Valley,QUIRINO,SAGUDAY,2010,6
Region II - Cagayan Valley,QUIRINO,SAGUDAY,2011,6
Region II - Cagayan Valley,QUIRINO,SAGUDAY,2013,9
Region II - Cagayan Valley,QUIRINO,SAGUDAY,2014,13
Region II - Cagayan Valley,QUIRINO,SAGUDAY,2015,25
Region II - Cagayan Valley,QUIRINO,SAGUDAY,2016,17
Region II - Cagayan Valley,QUIRINO,SAGUDAY,2017,10
Region II - Cagayan Valley,QUIRINO,SAGUDAY,2018,14
Region II - Cagayan Valley,QUIRINO,SAGUDAY,2019,10
Region II - Cagayan Valley,QUIRINO,NOT REPORTED,1993,1
Region II - Cagayan Valley,QUIRINO,NOT REPORTED,1996,1
Region III - Central Luzon,BATAAN,ABUCAY,1988,78
Region III - Central Luzon,BATAAN,ABUCAY,1989,76
Region III - Central Luzon,BATAAN,ABUCAY,1990,106
Region III - Central Luzon,BATAAN,ABUCAY,1991,132
Region III - Central Luzon,BATAAN,ABUCAY,1992,98
Region III - Central Luzon,BATAAN,ABUCAY,1993,56
Region III - Central Luzon,BATAAN,ABUCAY,1994,72
Region III - Central Luzon,BATAAN,ABUCAY,1995,54
Region III - Central Luzon,BATAAN,ABUCAY,1996,65
Region III - Central Luzon,BATAAN,ABUCAY,1997,48
Region III - Central Luzon,BATAAN,ABUCAY,1998,34
Region III - Central Luzon,BATAAN,ABUCAY,1999,19
Region III - Central Luzon,BATAAN,ABUCAY,2000,45
Region III - Central Luzon,BATAAN,ABUCAY,2001,35
Region III - Central Luzon,BATAAN,ABUCAY,2002,57
Region III - Central Luzon,BATAAN,ABUCAY,2003,28
Region III - Central Luzon,BATAAN,ABUCAY,2004,49
Region III - Central Luzon,BATAAN,ABUCAY,2005,57
Region III - Central Luzon,BATAAN,ABUCAY,2006,55
Region III - Central Luzon,BATAAN,ABUCAY,2007,54
Region III - Central Luzon,BATAAN,ABUCAY,2008,56
Region III - Central Luzon,BATAAN,ABUCAY,2009,53
Region III - Central Luzon,BATAAN,ABUCAY,2010,50
Region III - Central Luzon,BATAAN,ABUCAY,2011,63
Region III - Central Luzon,BATAAN,ABUCAY,2012,32
Region III - Central Luzon,BATAAN,ABUCAY,2013,33
Region III - Central Luzon,BATAAN,ABUCAY,2014,39
Region III - Central Luzon,BATAAN,ABUCAY,2015,74
Region III - Central Luzon,BATAAN,ABUCAY,2016,72
Region III - Central Luzon,BATAAN,ABUCAY,2017,53
Region III - Central Luzon,BATAAN,ABUCAY,2018,51
Region III - Central Luzon,BATAAN,ABUCAY,2019,42
Region III - Central Luzon,BATAAN,ABUCAY,2020,21
Region III - Central Luzon,BATAAN,BAGAC,1988,16
Region III - Central Luzon,BATAAN,BAGAC,1989,12
Region III - Central Luzon,BATAAN,BAGAC,1990,20
Region III - Central Luzon,BATAAN,BAGAC,1991,24
Region III - Central Luzon,BATAAN,BAGAC,1992,29
Region III - Central Luzon,BATAAN,BAGAC,1993,23
Region III - Central Luzon,BATAAN,BAGAC,1994,27
Region III - Central Luzon,BATAAN,BAGAC,1995,13
Region III - Central Luzon,BATAAN,BAGAC,1996,28
Region III - Central Luzon,BATAAN,BAGAC,1997,24
Region III - Central Luzon,BATAAN,BAGAC,1998,19
Region III - Central Luzon,BATAAN,BAGAC,1999,6
Region III - Central Luzon,BATAAN,BAGAC,2000,2
Region III - Central Luzon,BATAAN,BAGAC,2001,18
Region III - Central Luzon,BATAAN,BAGAC,2002,12
Region III - Central Luzon,BATAAN,BAGAC,2003,31
Region III - Central Luzon,BATAAN,BAGAC,2004,19
Region III - Central Luzon,BATAAN,BAGAC,2005,13
Region III - Central Luzon,BATAAN,BAGAC,2006,9
Region III - Central Luzon,BATAAN,BAGAC,2007,19
Region III - Central Luzon,BATAAN,BAGAC,2008,21
Region III - Central Luzon,BATAAN,BAGAC,2009,24
Region III - Central Luzon,BATAAN,BAGAC,2010,23
Region III - Central Luzon,BATAAN,BAGAC,2011,24
Region III - Central Luzon,BATAAN,BAGAC,2012,35
Region III - Central Luzon,BATAAN,BAGAC,2013,13
Region III - Central Luzon,BATAAN,BAGAC,2014,25
Region III - Central Luzon,BATAAN,BAGAC,2015,17
Region III - Central Luzon,BATAAN,BAGAC,2016,16
Region III - Central Luzon,BATAAN,BAGAC,2017,17
Region III - Central Luzon,BATAAN,BAGAC,2018,17
Region III - Central Luzon,BATAAN,BAGAC,2019,23
Region III - Central Luzon,BATAAN,BAGAC,2020,2
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),1988,85
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),1989,83
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),1990,121
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),1991,76
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),1992,102
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),1993,111
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),1994,97
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),1995,97
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),1996,85
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),1997,83
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),1998,80
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),1999,58
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),2000,95
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),2001,76
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),2002,85
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),2003,79
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),2004,92
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),2005,83
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),2006,109
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),2007,146
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),2008,71
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),2009,91
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),2010,143
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),2011,144
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),2012,166
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),2013,137
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),2014,116
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),2015,167
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),2016,120
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),2017,129
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),2018,102
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),2019,115
Region III - Central Luzon,BATAAN,BALANGA (CAPITAL),2020,23
Region III - Central Luzon,BATAAN,DINALUPIHAN,1988,117
Region III - Central Luzon,BATAAN,DINALUPIHAN,1989,106
Region III - Central Luzon,BATAAN,DINALUPIHAN,1990,141
Region III - Central Luzon,BATAAN,DINALUPIHAN,1991,122
Region III - Central Luzon,BATAAN,DINALUPIHAN,1992,119
Region III - Central Luzon,BATAAN,DINALUPIHAN,1993,136
Region III - Central Luzon,BATAAN,DINALUPIHAN,1994,119
Region III - Central Luzon,BATAAN,DINALUPIHAN,1995,105
Region III - Central Luzon,BATAAN,DINALUPIHAN,1996,122
Region III - Central Luzon,BATAAN,DINALUPIHAN,1997,74
Region III - Central Luzon,BATAAN,DINALUPIHAN,1998,64
Region III - Central Luzon,BATAAN,DINALUPIHAN,1999,95
Region III - Central Luzon,BATAAN,DINALUPIHAN,2000,74
Region III - Central Luzon,BATAAN,DINALUPIHAN,2001,57
Region III - Central Luzon,BATAAN,DINALUPIHAN,2002,88
Region III - Central Luzon,BATAAN,DINALUPIHAN,2003,98
Region III - Central Luzon,BATAAN,DINALUPIHAN,2004,121
Region III - Central Luzon,BATAAN,DINALUPIHAN,2005,120
Region III - Central Luzon,BATAAN,DINALUPIHAN,2006,133
Region III - Central Luzon,BATAAN,DINALUPIHAN,2007,109
Region III - Central Luzon,BATAAN,DINALUPIHAN,2008,93
Region III - Central Luzon,BATAAN,DINALUPIHAN,2009,137
Region III - Central Luzon,BATAAN,DINALUPIHAN,2010,137
Region III - Central Luzon,BATAAN,DINALUPIHAN,2011,125
Region III - Central Luzon,BATAAN,DINALUPIHAN,2012,118
Region III - Central Luzon,BATAAN,DINALUPIHAN,2013,126
Region III - Central Luzon,BATAAN,DINALUPIHAN,2014,125
Region III - Central Luzon,BATAAN,DINALUPIHAN,2015,141
Region III - Central Luzon,BATAAN,DINALUPIHAN,2016,139
Region III - Central Luzon,BATAAN,DINALUPIHAN,2017,113
Region III - Central Luzon,BATAAN,DINALUPIHAN,2018,146
Region III - Central Luzon,BATAAN,DINALUPIHAN,2019,143
Region III - Central Luzon,BATAAN,DINALUPIHAN,2020,22
Region III - Central Luzon,BATAAN,HERMOSA,1988,46
Region III - Central Luzon,BATAAN,HERMOSA,1989,52
Region III - Central Luzon,BATAAN,HERMOSA,1990,55
Region III - Central Luzon,BATAAN,HERMOSA,1991,33
Region III - Central Luzon,BATAAN,HERMOSA,1992,70
Region III - Central Luzon,BATAAN,HERMOSA,1993,39
Region III - Central Luzon,BATAAN,HERMOSA,1994,61
Region III - Central Luzon,BATAAN,HERMOSA,1995,49
Region III - Central Luzon,BATAAN,HERMOSA,1996,68
Region III - Central Luzon,BATAAN,HERMOSA,1997,51
Region III - Central Luzon,BATAAN,HERMOSA,1998,26
Region III - Central Luzon,BATAAN,HERMOSA,1999,37
Region III - Central Luzon,BATAAN,HERMOSA,2000,41
Region III - Central Luzon,BATAAN,HERMOSA,2001,30
Region III - Central Luzon,BATAAN,HERMOSA,2002,63
Region III - Central Luzon,BATAAN,HERMOSA,2003,48
Region III - Central Luzon,BATAAN,HERMOSA,2004,40
Region III - Central Luzon,BATAAN,HERMOSA,2005,28
Region III - Central Luzon,BATAAN,HERMOSA,2006,47
Region III - Central Luzon,BATAAN,HERMOSA,2007,39
Region III - Central Luzon,BATAAN,HERMOSA,2008,57
Region III - Central Luzon,BATAAN,HERMOSA,2009,59
Region III - Central Luzon,BATAAN,HERMOSA,2010,68
Region III - Central Luzon,BATAAN,HERMOSA,2011,41
Region III - Central Luzon,BATAAN,HERMOSA,2012,71
Region III - Central Luzon,BATAAN,HERMOSA,2013,68
Region III - Central Luzon,BATAAN,HERMOSA,2014,61
Region III - Central Luzon,BATAAN,HERMOSA,2015,74
Region III - Central Luzon,BATAAN,HERMOSA,2016,60
Region III - Central Luzon,BATAAN,HERMOSA,2017,56
Region III - Central Luzon,BATAAN,HERMOSA,2018,64
Region III - Central Luzon,BATAAN,HERMOSA,2019,42
Region III - Central Luzon,BATAAN,HERMOSA,2020,23
Region III - Central Luzon,BATAAN,LIMAY,1988,9
Region III - Central Luzon,BATAAN,LIMAY,1989,17
Region III - Central Luzon,BATAAN,LIMAY,1990,46
Region III - Central Luzon,BATAAN,LIMAY,1991,20
Region III - Central Luzon,BATAAN,LIMAY,1992,32
Region III - Central Luzon,BATAAN,LIMAY,1993,30
Region III - Central Luzon,BATAAN,LIMAY,1994,57
Region III - Central Luzon,BATAAN,LIMAY,1995,25
Region III - Central Luzon,BATAAN,LIMAY,1996,35
Region III - Central Luzon,BATAAN,LIMAY,1997,21
Region III - Central Luzon,BATAAN,LIMAY,1998,17
Region III - Central Luzon,BATAAN,LIMAY,1999,18
Region III - Central Luzon,BATAAN,LIMAY,2000,22
Region III - Central Luzon,BATAAN,LIMAY,2001,22
Region III - Central Luzon,BATAAN,LIMAY,2002,28
Region III - Central Luzon,BATAAN,LIMAY,2003,39
Region III - Central Luzon,BATAAN,LIMAY,2004,23
Region III - Central Luzon,BATAAN,LIMAY,2005,27
Region III - Central Luzon,BATAAN,LIMAY,2006,22
Region III - Central Luzon,BATAAN,LIMAY,2007,34
Region III - Central Luzon,BATAAN,LIMAY,2008,24
Region III - Central Luzon,BATAAN,LIMAY,2009,52
Region III - Central Luzon,BATAAN,LIMAY,2010,46
Region III - Central Luzon,BATAAN,LIMAY,2011,40
Region III - Central Luzon,BATAAN,LIMAY,2012,56
Region III - Central Luzon,BATAAN,LIMAY,2013,37
Region III - Central Luzon,BATAAN,LIMAY,2014,47
Region III - Central Luzon,BATAAN,LIMAY,2015,70
Region III - Central Luzon,BATAAN,LIMAY,2016,80
Region III - Central Luzon,BATAAN,LIMAY,2017,59
Region III - Central Luzon,BATAAN,LIMAY,2018,53
Region III - Central Luzon,BATAAN,LIMAY,2019,35
Region III - Central Luzon,BATAAN,LIMAY,2020,2
Region III - Central Luzon,BATAAN,MARIVELES,1988,37
Region III - Central Luzon,BATAAN,MARIVELES,1989,28
Region III - Central Luzon,BATAAN,MARIVELES,1990,37
Region III - Central Luzon,BATAAN,MARIVELES,1991,37
Region III - Central Luzon,BATAAN,MARIVELES,1992,57
Region III - Central Luzon,BATAAN,MARIVELES,1993,44
Region III - Central Luzon,BATAAN,MARIVELES,1994,46
Region III - Central Luzon,BATAAN,MARIVELES,1995,39
Region III - Central Luzon,BATAAN,MARIVELES,1996,33
Region III - Central Luzon,BATAAN,MARIVELES,1997,45
Region III - Central Luzon,BATAAN,MARIVELES,1998,35
Region III - Central Luzon,BATAAN,MARIVELES,1999,35
Region III - Central Luzon,BATAAN,MARIVELES,2000,28
Region III - Central Luzon,BATAAN,MARIVELES,2001,40
Region III - Central Luzon,BATAAN,MARIVELES,2002,33
Region III - Central Luzon,BATAAN,MARIVELES,2003,36
Region III - Central Luzon,BATAAN,MARIVELES,2004,54
Region III - Central Luzon,BATAAN,MARIVELES,2005,51
Region III - Central Luzon,BATAAN,MARIVELES,2006,55
Region III - Central Luzon,BATAAN,MARIVELES,2007,70
Region III - Central Luzon,BATAAN,MARIVELES,2008,65
Region III - Central Luzon,BATAAN,MARIVELES,2009,63
Region III - Central Luzon,BATAAN,MARIVELES,2010,98
Region III - Central Luzon,BATAAN,MARIVELES,2011,64
Region III - Central Luzon,BATAAN,MARIVELES,2012,77
Region III - Central Luzon,BATAAN,MARIVELES,2013,41
Region III - Central Luzon,BATAAN,MARIVELES,2014,62
Region III - Central Luzon,BATAAN,MARIVELES,2015,70
Region III - Central Luzon,BATAAN,MARIVELES,2016,72
Region III - Central Luzon,BATAAN,MARIVELES,2017,63
Region III - Central Luzon,BATAAN,MARIVELES,2018,71
Region III - Central Luzon,BATAAN,MARIVELES,2019,57
Region III - Central Luzon,BATAAN,MARIVELES,2020,14
Region III - Central Luzon,BATAAN,MORONG,1988,10
Region III - Central Luzon,BATAAN,MORONG,1989,5
Region III - Central Luzon,BATAAN,MORONG,1990,17
Region III - Central Luzon,BATAAN,MORONG,1991,21
Region III - Central Luzon,BATAAN,MORONG,1992,22
Region III - Central Luzon,BATAAN,MORONG,1993,7
Region III - Central Luzon,BATAAN,MORONG,1994,20
Region III - Central Luzon,BATAAN,MORONG,1995,11
Region III - Central Luzon,BATAAN,MORONG,1996,12
Region III - Central Luzon,BATAAN,MORONG,1997,15
Region III - Central Luzon,BATAAN,MORONG,1998,8
Region III - Central Luzon,BATAAN,MORONG,1999,6
Region III - Central Luzon,BATAAN,MORONG,2000,11
Region III - Central Luzon,BATAAN,MORONG,2001,9
Region III - Central Luzon,BATAAN,MORONG,2002,11
Region III - Central Luzon,BATAAN,MORONG,2003,10
Region III - Central Luzon,BATAAN,MORONG,2004,15
Region III - Central Luzon,BATAAN,MORONG,2005,11
Region III - Central Luzon,BATAAN,MORONG,2006,28
Region III - Central Luzon,BATAAN,MORONG,2007,23
Region III - Central Luzon,BATAAN,MORONG,2008,8
Region III - Central Luzon,BATAAN,MORONG,2009,13
Region III - Central Luzon,BATAAN,MORONG,2010,7
Region III - Central Luzon,BATAAN,MORONG,2011,10
Region III - Central Luzon,BATAAN,MORONG,2012,33
Region III - Central Luzon,BATAAN,MORONG,2013,17
Region III - Central Luzon,BATAAN,MORONG,2014,16
Region III - Central Luzon,BATAAN,MORONG,2015,20
Region III - Central Luzon,BATAAN,MORONG,2016,21
Region III - Central Luzon,BATAAN,MORONG,2017,25
Region III - Central Luzon,BATAAN,MORONG,2018,26
Region III - Central Luzon,BATAAN,MORONG,2019,18
Region III - Central Luzon,BATAAN,MORONG,2020,1
Region III - Central Luzon,BATAAN,ORANI,1988,76
Region III - Central Luzon,BATAAN,ORANI,1989,79
Region III - Central Luzon,BATAAN,ORANI,1990,86
Region III - Central Luzon,BATAAN,ORANI,1991,75
Region III - Central Luzon,BATAAN,ORANI,1992,74
Region III - Central Luzon,BATAAN,ORANI,1993,65
Region III - Central Luzon,BATAAN,ORANI,1994,65
Region III - Central Luzon,BATAAN,ORANI,1995,72
Region III - Central Luzon,BATAAN,ORANI,1996,74
Region III - Central Luzon,BATAAN,ORANI,1997,75
Region III - Central Luzon,BATAAN,ORANI,1998,45
Region III - Central Luzon,BATAAN,ORANI,1999,29
Region III - Central Luzon,BATAAN,ORANI,2000,39
Region III - Central Luzon,BATAAN,ORANI,2001,30
Region III - Central Luzon,BATAAN,ORANI,2002,69
Region III - Central Luzon,BATAAN,ORANI,2003,63
Region III - Central Luzon,BATAAN,ORANI,2004,42
Region III - Central Luzon,BATAAN,ORANI,2005,37
Region III - Central Luzon,BATAAN,ORANI,2006,66
Region III - Central Luzon,BATAAN,ORANI,2007,97
Region III - Central Luzon,BATAAN,ORANI,2008,61
Region III - Central Luzon,BATAAN,ORANI,2009,71
Region III - Central Luzon,BATAAN,ORANI,2010,80
Region III - Central Luzon,BATAAN,ORANI,2011,71
Region III - Central Luzon,BATAAN,ORANI,2012,73
Region III - Central Luzon,BATAAN,ORANI,2013,67
Region III - Central Luzon,BATAAN,ORANI,2014,75
Region III - Central Luzon,BATAAN,ORANI,2015,65
Region III - Central Luzon,BATAAN,ORANI,2016,63
Region III - Central Luzon,BATAAN,ORANI,2017,63
Region III - Central Luzon,BATAAN,ORANI,2018,66
Region III - Central Luzon,BATAAN,ORANI,2019,78
Region III - Central Luzon,BATAAN,ORANI,2020,11
Region III - Central Luzon,BATAAN,ORION,1988,72
Region III - Central Luzon,BATAAN,ORION,1989,109
Region III - Central Luzon,BATAAN,ORION,1990,113
Region III - Central Luzon,BATAAN,ORION,1991,94
Region III - Central Luzon,BATAAN,ORION,1992,81
Region III - Central Luzon,BATAAN,ORION,1993,65
Region III - Central Luzon,BATAAN,ORION,1994,83
Region III - Central Luzon,BATAAN,ORION,1995,55
Region III - Central Luzon,BATAAN,ORION,1996,46
Region III - Central Luzon,BATAAN,ORION,1997,47
Region III - Central Luzon,BATAAN,ORION,1998,28
Region III - Central Luzon,BATAAN,ORION,1999,58
Region III - Central Luzon,BATAAN,ORION,2000,68
Region III - Central Luzon,BATAAN,ORION,2001,46
Region III - Central Luzon,BATAAN,ORION,2002,60
Region III - Central Luzon,BATAAN,ORION,2003,57
Region III - Central Luzon,BATAAN,ORION,2004,60
Region III - Central Luzon,BATAAN,ORION,2005,66
Region III - Central Luzon,BATAAN,ORION,2006,60
Region III - Central Luzon,BATAAN,ORION,2007,47
Region III - Central Luzon,BATAAN,ORION,2008,75
Region III - Central Luzon,BATAAN,ORION,2009,58
Region III - Central Luzon,BATAAN,ORION,2010,98
Region III - Central Luzon,BATAAN,ORION,2011,94
Region III - Central Luzon,BATAAN,ORION,2012,79
Region III - Central Luzon,BATAAN,ORION,2013,61
Region III - Central Luzon,BATAAN,ORION,2014,72
Region III - Central Luzon,BATAAN,ORION,2015,64
Region III - Central Luzon,BATAAN,ORION,2016,67
Region III - Central Luzon,BATAAN,ORION,2017,80
Region III - Central Luzon,BATAAN,ORION,2018,43
Region III - Central Luzon,BATAAN,ORION,2019,47
Region III - Central Luzon,BATAAN,ORION,2020,3
Region III - Central Luzon,BATAAN,PILAR,1988,28
Region III - Central Luzon,BATAAN,PILAR,1989,45
Region III - Central Luzon,BATAAN,PILAR,1990,39
Region III - Central Luzon,BATAAN,PILAR,1991,14
Region III - Central Luzon,BATAAN,PILAR,1992,49
Region III - Central Luzon,BATAAN,PILAR,1993,25
Region III - Central Luzon,BATAAN,PILAR,1994,46
Region III - Central Luzon,BATAAN,PILAR,1995,18
Region III - Central Luzon,BATAAN,PILAR,1996,27
Region III - Central Luzon,BATAAN,PILAR,1997,22
Region III - Central Luzon,BATAAN,PILAR,1998,14
Region III - Central Luzon,BATAAN,PILAR,1999,18
Region III - Central Luzon,BATAAN,PILAR,2000,8
Region III - Central Luzon,BATAAN,PILAR,2001,15
Region III - Central Luzon,BATAAN,PILAR,2002,34
Region III - Central Luzon,BATAAN,PILAR,2003,43
Region III - Central Luzon,BATAAN,PILAR,2004,22
Region III - Central Luzon,BATAAN,PILAR,2005,16
Region III - Central Luzon,BATAAN,PILAR,2006,35
Region III - Central Luzon,BATAAN,PILAR,2007,35
Region III - Central Luzon,BATAAN,PILAR,2008,50
Region III - Central Luzon,BATAAN,PILAR,2009,49
Region III - Central Luzon,BATAAN,PILAR,2010,40
Region III - Central Luzon,BATAAN,PILAR,2011,26
Region III - Central Luzon,BATAAN,PILAR,2012,36
Region III - Central Luzon,BATAAN,PILAR,2013,26
Region III - Central Luzon,BATAAN,PILAR,2014,33
Region III - Central Luzon,BATAAN,PILAR,2015,41
Region III - Central Luzon,BATAAN,PILAR,2016,58
Region III - Central Luzon,BATAAN,PILAR,2017,45
Region III - Central Luzon,BATAAN,PILAR,2018,20
Region III - Central Luzon,BATAAN,PILAR,2019,18
Region III - Central Luzon,BATAAN,PILAR,2020,1
Region III - Central Luzon,BATAAN,SAMAL,1988,74
Region III - Central Luzon,BATAAN,SAMAL,1989,26
Region III - Central Luzon,BATAAN,SAMAL,1990,50
Region III - Central Luzon,BATAAN,SAMAL,1991,41
Region III - Central Luzon,BATAAN,SAMAL,1992,75
Region III - Central Luzon,BATAAN,SAMAL,1993,53
Region III - Central Luzon,BATAAN,SAMAL,1994,58
Region III - Central Luzon,BATAAN,SAMAL,1995,20
Region III - Central Luzon,BATAAN,SAMAL,1996,46
Region III - Central Luzon,BATAAN,SAMAL,1997,56
Region III - Central Luzon,BATAAN,SAMAL,1998,19
Region III - Central Luzon,BATAAN,SAMAL,1999,38
Region III - Central Luzon,BATAAN,SAMAL,2000,31
Region III - Central Luzon,BATAAN,SAMAL,2001,35
Region III - Central Luzon,BATAAN,SAMAL,2002,36
Region III - Central Luzon,BATAAN,SAMAL,2003,21
Region III - Central Luzon,BATAAN,SAMAL,2004,49
Region III - Central Luzon,BATAAN,SAMAL,2005,36
Region III - Central Luzon,BATAAN,SAMAL,2006,58
Region III - Central Luzon,BATAAN,SAMAL,2007,40
Region III - Central Luzon,BATAAN,SAMAL,2008,18
Region III - Central Luzon,BATAAN,SAMAL,2009,31
Region III - Central Luzon,BATAAN,SAMAL,2010,59
Region III - Central Luzon,BATAAN,SAMAL,2011,45
Region III - Central Luzon,BATAAN,SAMAL,2012,41
Region III - Central Luzon,BATAAN,SAMAL,2013,30
Region III - Central Luzon,BATAAN,SAMAL,2014,64
Region III - Central Luzon,BATAAN,SAMAL,2015,59
Region III - Central Luzon,BATAAN,SAMAL,2016,42
Region III - Central Luzon,BATAAN,SAMAL,2017,25
Region III - Central Luzon,BATAAN,SAMAL,2018,31
Region III - Central Luzon,BATAAN,SAMAL,2019,20
Region III - Central Luzon,BATAAN,SAMAL,2020,2
Region III - Central Luzon,BATAAN,NOT REPORTED,1989,1
Region III - Central Luzon,BATAAN,NOT REPORTED,1996,1
Region III - Central Luzon,BATAAN,NOT REPORTED,2001,2
Region III - Central Luzon,BATAAN,NOT REPORTED,2002,2
Region III - Central Luzon,BULACAN,ANGAT,1988,20
Region III - Central Luzon,BULACAN,ANGAT,1989,32
Region III - Central Luzon,BULACAN,ANGAT,1990,22
Region III - Central Luzon,BULACAN,ANGAT,1991,37
Region III - Central Luzon,BULACAN,ANGAT,1992,18
Region III - Central Luzon,BULACAN,ANGAT,1993,27
Region III - Central Luzon,BULACAN,ANGAT,1994,29
Region III - Central Luzon,BULACAN,ANGAT,1995,35
Region III - Central Luzon,BULACAN,ANGAT,1996,26
Region III - Central Luzon,BULACAN,ANGAT,1997,25
Region III - Central Luzon,BULACAN,ANGAT,1998,16
Region III - Central Luzon,BULACAN,ANGAT,1999,32
Region III - Central Luzon,BULACAN,ANGAT,2000,35
